NO,True Label,Predicted Label,TP,TN,FP,FN
22,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
23,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
24,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
25,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
26,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
27,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
28,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
29,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
30,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
31,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
32,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
33,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
34,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
35,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
36,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
37,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
38,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
39,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
40,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
41,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
42,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
43,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
44,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,1,0,0,0
45,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
46,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
47,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
48,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
49,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
50,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
51,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
52,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
53,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
54,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
55,Melakukan Gerakan Berat,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",0,0,0,1
56,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
57,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
58,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
59,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
60,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
61,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
62,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Tertimpa Benda-Benda Jatuh,0,0,0,1
63,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
64,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
65,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
66,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
67,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
68,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
69,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
70,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
71,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
72,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,1,0,0,0
73,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
74,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
75,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,1,0,0,0
76,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
77,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
78,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
79,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Tertimpa Benda-Benda Jatuh,0,0,0,1
80,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Melakukan Gerakan Berat,0,0,0,1
81,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
82,Paparan/Kontak dengan Suhu Ekstrem ,Paparan/Kontak dengan Suhu Ekstrem ,1,0,0,0
83,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
84,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
85,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
86,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
87,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
88,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
89,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
90,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
91,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
92,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
93,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
94,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
95,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
96,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
97,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
98,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
99,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
100,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
101,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
102,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
103,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
104,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
105,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
106,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
107,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
108,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
109,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
110,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
111,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
112,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
113,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
114,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
115,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
116,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
117,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
118,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
119,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Tertimpa Benda-Benda Jatuh,0,0,0,1
120,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
121,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
122,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
123,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
124,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
125,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
126,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
127,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
128,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
129,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
130,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
131,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
132,Paparan/Kontak dengan Suhu Ekstrem ,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",0,0,0,1
133,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Tertimpa Benda-Benda Jatuh,0,0,0,1
134,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
135,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
136,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
137,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
138,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
139,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
140,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
141,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
142,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
143,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Tertimpa Benda-Benda Jatuh,0,0,0,1
144,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
145,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
146,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
147,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
148,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
149,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
150,Paparan/Kontak dengan Suhu Ekstrem ,Paparan/Kontak dengan Suhu Ekstrem ,1,0,0,0
151,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
152,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Melakukan Gerakan Berat,0,0,0,1
153,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
154,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
155,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
156,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
157,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
158,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
159,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
160,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
161,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
162,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
163,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
164,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
165,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
166,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
167,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
168,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
169,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
170,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
171,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
172,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
173,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
174,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
175,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
176,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Tertimpa Benda-Benda Jatuh,0,0,0,1
177,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
178,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
179,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
180,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
181,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
182,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
183,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
184,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
185,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
186,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Melakukan Gerakan Berat,0,0,0,1
187,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
188,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
189,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
190,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
191,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
192,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
193,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
194,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
195,Terperangkap di dalam atau diantara benda-benda,Melakukan Gerakan Berat,0,0,0,1
196,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
197,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
198,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
199,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
200,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
201,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
202,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
203,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
204,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
205,Terperangkap di dalam atau diantara benda-benda,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",0,0,0,1
206,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
207,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
208,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
209,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
210,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
211,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
212,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
213,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
214,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Melakukan Gerakan Berat,0,0,0,1
215,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
216,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
217,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
218,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
219,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
220,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
221,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
222,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
223,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Tertimpa Benda-Benda Jatuh,0,0,0,1
224,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
225,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,1,0,0,0
226,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
227,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
228,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
229,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
230,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
231,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
232,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
233,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
234,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
235,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
236,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
237,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
238,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
239,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
240,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
241,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
242,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
243,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
244,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,1,0,0,0
245,Terperangkap di dalam atau diantara benda-benda,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",0,0,0,1
246,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
247,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
248,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Tertimpa Benda-Benda Jatuh,0,0,0,1
249,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
250,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
251,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
252,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
253,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
254,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
255,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
256,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
257,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
258,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
259,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
260,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
261,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
262,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
263,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
264,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
265,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
266,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
267,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,1,0,0,0
268,Terperangkap di dalam atau diantara benda-benda,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",0,0,0,1
269,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
270,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
